Incident Number,Incident Type,Level,Occurred On,Location,Facility,Informed By
1-68IZK2,Disturbance - Minor,Minor,3/03/11 1:05,,North West Point Immigration Facility,Service Provider Staff
1-68IUYW,Voluntary starvation (<24 hrs),Minor,3/03/11 1:05,,North West Point Immigration Facility,Service Provider Staff
1-68G9X2,Assault - Minor,Major,3/03/11 1:05,,North West Point Immigration Facility,Service Provider Staff
1-68IZL8,Failure - IT Systems,Minor,3/03/11 1:15,,Scherger IDC,Service Provider Staff
1-68FPCS,Failure - IT Systems,Minor,3/03/11 1:20,,Curtin IDC,Service Provider Staff
1-68G5CC,Abusive/Aggressive Behaviour,Minor,3/03/11 1:54,,North West Point Immigration Facility,Service Provider Staff
1-68KHYE,Contraband found,Minor,3/03/11 9:10,,North West Point Immigration Facility,Service Provider Staff
1-68GA05,Failure - Security System,Major,3/03/11 9:35,,Villawood IDC,Service Provider Staff
1-68IZFM,Self Harm - Actual,Critical,3/03/11 9:45,,Curtin IDC,Service Provider Staff
1-68H3IF,Failure - Security System,Major,3/03/11 10:14,,Villawood IDC,Service Provider Staff
1-68GAF5,Disturbance - Minor,Minor,3/03/11 10:50,,Melbourne ITA,Service Provider Staff
1-6B3JON,Complaint Unresolved in time,Minor,3/03/11 11:32,,Christmas Island,Client
1-68M7M2,Transfer btwn facilities,Minor,3/03/11 12:05,,Northern IDC,Service Provider Staff
1-68IUYI,Theft,Minor,3/03/11 12:20,,Melbourne ITA,Service Provider Staff
1-68N8CM,Self Harm - Threatened,Major,3/03/11 12:50,,Lilac Aqua,Service Provider Staff
1-6AKYI5,Complaint Unresolved in time,Minor,3/03/11 13:12,,Lilac Aqua,Client
1-68V60J,Disturbance - Minor,Minor,3/03/11 13:40,,Inverbrackie APOD,Service Provider Staff
1-68KOUJ,Failure - IT Systems,Minor,3/03/11 14:00,,Maribyrnong IDC,Service Provider Staff
1-68YETJ,Media - Approach staff/clients,Minor,3/03/11 14:10,,Villawood IDC,Service Provider Staff
1-68N7YL,Transfer btwn facilities,Minor,3/03/11 14:55,,Northern IDC,Service Provider Staff
1-68KIDI,Failure - IT Systems,Minor,3/03/11 15:15,,Villawood IDC,Service Provider Staff
1-68OSD9,Self Harm - Actual,Critical,3/03/11 15:45,,Curtin IDC,Service Provider Staff
1-68O36K,Accident/Injury - Serious,Critical,3/03/11 16:00,,Melbourne ITA,Service Provider Staff
1-68O2YS,Use of Force,Major,3/03/11 16:00,,Melbourne ITA,Service Provider Staff
1-68KIBJ,Voluntary starvation (>24 hrs),Major,3/03/11 16:00,,Villawood IDC,Service Provider Staff
1-68M7C6,Disturbance - Major,Major,3/03/11 16:00,,Melbourne ITA,Service Provider Staff
1-6910YW,Complaint Unresolved in time,Minor,3/03/11 16:30,,Northern IDC,Service Provider Staff
1-68OSNZ,Assault - Serious,Critical,3/03/11 16:45,,North West Point Immigration Facility,Service Provider Staff
1-68OE7K,Assault - Serious,Critical,3/03/11 17:30,,Inverbrackie APOD,Service Provider Staff
1-68ODSV,Complaint Unresolved in time,Minor,3/03/11 17:35,,Northern IDC,Service Provider Staff
1-68V5PW,Failure - IT Systems,Minor,3/03/11 18:00,,Curtin IDC,Service Provider Staff
1-68PQAG,Disturbance - Minor,Minor,3/03/11 18:29,,North West Point Immigration Facility,Service Provider Staff
1-68WP38,Disturbance - Minor,Minor,3/03/11 19:10,,Inverbrackie APOD,Service Provider Staff
1-6LQLFH,Failure - Power,Minor,3/03/11 20:00,,Perth IRH,External Source
1-691QQ4,Voluntary  Starvation - End of,Minor,3/03/11 21:00,,Northern IDC,Service Provider Staff
1-691QMC,Voluntary  Starvation - End of,Minor,3/03/11 21:00,,Northern IDC,Service Provider Staff
1-691QHU,Voluntary  Starvation - End of,Minor,3/03/11 21:00,,Northern IDC,Service Provider Staff
1-6912B4,Voluntary  Starvation - End of,Minor,3/03/11 21:00,,Northern IDC,Service Provider Staff
1-68PQS7,Accident/Injury - Serious,Critical,3/03/11 21:45,,Gwalia Lodge,Service Provider Staff
1-68WLPX,Damage - Minor,Minor,3/03/11 23:00,,Melbourne ITA,Service Provider Staff
1-691QDC,Voluntary  Starvation - End of,Minor,4/03/11 0:00,,Northern IDC,Service Provider Staff
1-68PQTK,Assault - Minor,Major,4/03/11 0:20,,Scherger IDC,Service Provider Staff
1-68XFYR,Disturbance - Minor,Minor,4/03/11 0:40,,Inverbrackie APOD,Service Provider Staff
1-68PQX8,Voluntary starvation (>24 hrs),Major,4/03/11 1:30,,Curtin IDC,Service Provider Staff
1-68PQTB,Voluntary starvation (>24 hrs),Major,4/03/11 1:30,,Curtin IDC,Service Provider Staff
1-68VW3O,Voluntary starvation (>24 hrs),Major,4/03/11 3:00,,North West Point Immigration Facility,Service Provider Staff
1-68PQPO,Damage - Minor,Minor,4/03/11 3:38,,Villawood IDC,Service Provider Staff
1-68WP8T,Transfer btwn facilities,Minor,4/03/11 6:00,,Northern IDC,Service Provider Staff
1-691R06,Contraband found,Minor,4/03/11 10:35,,North West Point Immigration Facility,Service Provider Staff
1-693TL6,Transfer btwn facilities,Minor,4/03/11 11:20,,Northern IDC,Service Provider Staff
1-693C93,Failure - IT Systems,Minor,4/03/11 11:30,,Villawood IDC,Service Provider Staff
1-693XDU,Use of Force,Major,4/03/11 11:55,,Curtin IDC,Service Provider Staff
1-6911HU,Self Harm - Actual,Critical,4/03/11 12:15,,North West Point Immigration Facility,Service Provider Staff
1-694KL2,Self Harm - Threatened,Major,4/03/11 12:30,,Gwalia Lodge,Service Provider Staff
1-693XAQ,Self Harm - Threatened,Major,4/03/11 12:35,,Perth IDC,DIAC Staff
1-690ML5,Disturbance - Minor,Minor,4/03/11 13:20,,Melbourne ITA,Service Provider Staff
1-6911AW,Media - Incident  of interest,Major,4/03/11 13:30,,Inverbrackie APOD,Service Provider Staff
1-694K9E,Complaint Unresolved in time,Minor,4/03/11 13:58,,Lilac Aqua,Service Provider Staff
1-694KAR,Complaint Unresolved in time,Minor,4/03/11 14:00,,Lilac Aqua,Service Provider Staff
1-694KAZ,Complaint Unresolved in time,Minor,4/03/11 14:03,,Lilac Aqua,Service Provider Staff
1-6965GA,Self Harm - Threatened,Major,4/03/11 15:53,,Lilac Aqua,Service Provider Staff
1-695T1Q,Transfer btwn facilities,Minor,4/03/11 16:03,,Northern IDC,Service Provider Staff
1-694K8Z,Transfer btwn facilities,Minor,4/03/11 16:10,,Northern IDC,Service Provider Staff
1-694K7F,Transfer btwn facilities,Minor,4/03/11 16:15,,Northern IDC,Service Provider Staff
1-693CN8,Accident/Injury - Serious,Critical,4/03/11 16:25,,Maribyrnong IDC,Service Provider Staff
1-693XOP,Abusive/Aggressive Behaviour,Minor,4/03/11 17:00,,Melbourne ITA,Service Provider Staff
1-694KJZ,Disturbance - Major,Major,4/03/11 17:05,,Melbourne ITA,Service Provider Staff
1-69YCFD,Use of Force,Major,4/03/11 17:50,,Melbourne ITA,Service Provider Staff
1-695T8C,Transfer to APOD,Minor,4/03/11 18:00,,Northern IDC,Service Provider Staff
1-69F04S,Disturbance - Minor,Minor,4/03/11 18:18,,Inverbrackie APOD,Service Provider Staff
1-69DS1B,Accident/Injury - Serious,Critical,4/03/11 18:33,,Scherger IDC,Service Provider Staff
1-696WHD,Self Harm - Threatened,Major,4/03/11 18:45,,Lilac Aqua,Service Provider Staff
1-696WC4,Assault - Minor,Major,4/03/11 19:00,,Curtin IDC,Service Provider Staff
1-696WD8,Abusive/Aggressive Behaviour,Minor,4/03/11 19:15,,Gwalia Lodge,Service Provider Staff
1-6965NA,Self Harm - Actual,Critical,4/03/11 19:30,,Perth IDC,Service Provider Staff
1-69FRG9,Voluntary starvation (<24 hrs),Minor,4/03/11 20:30,,Curtin IDC,Service Provider Staff
1-69FRG6,Voluntary starvation (<24 hrs),Minor,4/03/11 20:30,,Curtin IDC,Service Provider Staff
1-69FREW,Voluntary starvation (<24 hrs),Minor,4/03/11 20:30,,Curtin IDC,Service Provider Staff
1-695TEG,Failure - IT Systems,Minor,4/03/11 21:25,,Northern IDC,Service Provider Staff
1-69DSFN,Transfer to APOD,Minor,4/03/11 21:40,,Scherger IDC,Service Provider Staff
1-69DJ3M,Failure - IT Systems,Minor,4/03/11 22:00,,Scherger IDC,Service Provider Staff
1-69D4K0,Disturbance - Minor,Minor,4/03/11 22:25,,Curtin IDC,Service Provider Staff
1-696ZFV,Damage - Minor,Minor,5/03/11 1:00,,Northern IDC,Service Provider Staff
1-696ZEM,Transfer btwn facilities,Minor,5/03/11 1:00,,Northern IDC,Service Provider Staff
1-696ZJI,Escape,Critical,5/03/11 2:00,,Adelaide ITA,Service Provider Staff
1-696WI8,Escape - Attempted,Major,5/03/11 3:35,,Melbourne ITA,Service Provider Staff
1-696WRW,Complaint Unresolved in time,Minor,5/03/11 6:00,,Northern IDC,Service Provider Staff
1-69E5IX,Abusive/Aggressive Behaviour,Minor,5/03/11 8:45,,Northern IDC,Service Provider Staff
1-69XR7N,Complaint Unresolved in time,Minor,5/03/11 9:00,,Northern IDC,Service Provider Staff
1-69FIPG,Self Harm - Threatened,Major,5/03/11 11:10,,North West Point Immigration Facility,Service Provider Staff
1-69G5V2,Abusive/Aggressive Behaviour,Minor,5/03/11 12:15,,North West Point Immigration Facility,Service Provider Staff
1-69F0D0,Accident/Injury - Serious,Critical,5/03/11 12:20,,Melbourne ITA,Service Provider Staff
1-69FR0W,Self Harm - Actual,Critical,5/03/11 12:55,,North West Point Immigration Facility,Service Provider Staff
1-69G5NV,Voluntary  Starvation - End of,Minor,5/03/11 13:00,,North West Point Immigration Facility,Service Provider Staff
1-69FRIF,Disturbance - Minor,Minor,5/03/11 13:20,,North West Point Immigration Facility,Service Provider Staff
1-69G68Y,Disturbance - Minor,Minor,5/03/11 13:30,,North West Point Immigration Facility,Service Provider Staff
1-69FIII,Damage - Minor,Minor,5/03/11 13:45,,Villawood IDC,Service Provider Staff
1-69G1BG,Self Harm - Threatened,Major,5/03/11 14:10,,North West Point Immigration Facility,Service Provider Staff
1-69G18G,Contamination/Infection,Major,5/03/11 14:40,,Curtin IDC,Service Provider Staff
1-69G5SP,Disturbance - Minor,Minor,5/03/11 15:30,,North West Point Immigration Facility,Service Provider Staff
1-69FRB6,Disturbance - Minor,Minor,5/03/11 15:30,,Gwalia Lodge,Service Provider Staff
1-69G19S,Transfer btwn facilities,Minor,5/03/11 15:30,,Northern IDC,Service Provider Staff
1-69FS25,Transfer btwn facilities,Minor,5/03/11 15:30,,Northern IDC,Service Provider Staff
1-69YEDC,Self Harm - Threatened,Major,5/03/11 16:45,,Gwalia Lodge,Service Provider Staff
1-6CIMQS,Complaint Unresolved in time,Minor,5/03/11 17:00,,Christmas Island,Service Provider Staff
1-6CIMM7,Complaint Unresolved in time,Minor,5/03/11 17:00,,Christmas Island,Service Provider Staff
1-69G65G,Transfer to APOD,Minor,5/03/11 17:15,,Perth IDC,Service Provider Staff
1-69GVOD,Abusive/Aggressive Behaviour,Minor,5/03/11 19:25,,Inverbrackie APOD,Service Provider Staff
1-69O0O4,Voluntary starvation (<24 hrs),Minor,5/03/11 19:30,,Northern IDC,Service Provider Staff
1-69FRHV,Use of Restraints,Minor,5/03/11 20:20,,Villawood IDC,Service Provider Staff
1-69O0DB,Voluntary starvation (<24 hrs),Minor,5/03/11 20:30,,Curtin IDC,Service Provider Staff
1-69O07A,Voluntary starvation (<24 hrs),Minor,5/03/11 20:30,,Curtin IDC,Service Provider Staff
1-69GVOA,Damage - Minor,Minor,5/03/11 20:48,,Inverbrackie APOD,Service Provider Staff
1-69GJR5,Assault - Minor,Major,5/03/11 21:45,,Northern IDC,Service Provider Staff
1-69PKGT,Failure - IT Systems,Minor,5/03/11 22:00,,Scherger IDC,Service Provider Staff
1-69OYQ8,Failure - IT Systems,Minor,5/03/11 23:15,,Curtin IDC,Service Provider Staff
1-69GVH0,Transfer to APOD,Minor,6/03/11 3:00,,Construction Camp APOD,Service Provider Staff
1-69MO9G,Damage - Minor,Minor,6/03/11 4:00,,Villawood IDC,Service Provider Staff
1-69NSJO,Failure - IT Systems,Minor,6/03/11 5:00,,Gwalia Lodge,Service Provider Staff
1-69O9GV,Complaint Unresolved in time,Minor,6/03/11 8:00,,Northern IDC,Service Provider Staff
1-69O0GS,Disturbance - Minor,Minor,6/03/11 10:10,,North West Point Immigration Facility,Service Provider Staff
1-69PDG0,Assault - Not OBH,Minor,6/03/11 13:45,,Gwalia Lodge,Service Provider Staff
1-69P7BJ,Complaint Unresolved in time,Minor,6/03/11 15:00,,Northern IDC,Service Provider Staff
1-69P7AZ,Complaint Unresolved in time,Minor,6/03/11 15:00,,Northern IDC,Service Provider Staff
1-69PKQS,Assault - Minor,Major,6/03/11 16:20,,Curtin IDC,Service Provider Staff
1-6AM7RS,Assault - Serious,Critical,6/03/11 19:00,,Construction Camp APOD,Client
1-69VIKC,Disturbance - Minor,Minor,6/03/11 19:15,,Construction Camp APOD,Service Provider Staff
1-69R5FU,Escape,Critical,6/03/11 19:24,,North West Point Immigration Facility,Service Provider Staff
1-6A487F,Voluntary starvation (<24 hrs),Minor,6/03/11 20:30,,Curtin IDC,Service Provider Staff
1-6A42NV,Voluntary starvation (<24 hrs),Minor,6/03/11 20:30,,Curtin IDC,Service Provider Staff
1-69R5YT,Self Harm - Threatened,Major,6/03/11 21:15,,Curtin IDC,Service Provider Staff
1-69QE2V,Self Harm - Actual,Critical,6/03/11 21:40,,North West Point Immigration Facility,Service Provider Staff
1-69QEDO,Voluntary starvation (>24 hrs),Major,6/03/11 22:00,,Curtin IDC,Service Provider Staff
1-69YEIE,Transfer to APOD,Minor,6/03/11 22:45,,Inverbrackie APOD,Service Provider Staff
1-69QE4A,Self Harm - Actual,Critical,6/03/11 22:59,,North West Point Immigration Facility,Service Provider Staff
1-69VI4I,Abusive/Aggressive Behaviour,Minor,7/03/11 0:05,,Villawood IDC,Service Provider Staff
1-69R5YL,Damage - Minor,Minor,7/03/11 0:05,,Villawood IDC,Service Provider Staff
1-6A1GRR,Birth of a child,Minor,7/03/11 3:00,,Inverbrackie APOD,Service Provider Staff
1-69X3YR,Voluntary starvation (>24 hrs),Major,7/03/11 3:30,,Northern IDC,Service Provider Staff
1-6A42DW,Abusive/Aggressive Behaviour,Minor,7/03/11 8:44,,Lilac Aqua,Subcontractor
1-6A30CI,Voluntary starvation (<24 hrs),Minor,7/03/11 9:15,,Northern IDC,Service Provider Staff
1-6A1WFE,Property - Missing,Minor,7/03/11 9:30,,Villawood IDC,Service Provider Staff
1-69ZRSW,Contraband found,Minor,7/03/11 10:25,,Villawood IDC,Service Provider Staff
1-69ZD1I,Contraband found,Minor,7/03/11 10:30,,Villawood IDC,Service Provider Staff
1-6AAZOA,Disturbance - Minor,Minor,7/03/11 10:50,,Inverbrackie APOD,Service Provider Staff
1-6A1WEJ,Self Harm - Threatened,Major,7/03/11 11:10,,North West Point Immigration Facility,Service Provider Staff
1-6A3FJQ,Contraband found,Minor,7/03/11 12:00,,North West Point Immigration Facility,Service Provider Staff
1-6A43YC,Assault - Minor,Major,7/03/11 14:20,,North West Point Immigration Facility,Service Provider Staff
1-6A41YE,Use of Force,Major,7/03/11 14:25,,North West Point Immigration Facility,Service Provider Staff
1-6A42FC,Disturbance - Minor,Minor,7/03/11 14:30,,North West Point Immigration Facility,Service Provider Staff
1-6A427A,Abusive/Aggressive Behaviour,Minor,7/03/11 15:00,,Lilac Aqua,Service Provider Staff
1-6A3SZ1,Transfer to APOD,Minor,7/03/11 15:30,,Northern IDC,Service Provider Staff
1-6A4252,Disturbance - Minor,Minor,7/03/11 15:35,,Gwalia Lodge,Service Provider Staff
1-6A4420,Use of Force,Major,7/03/11 16:40,,Northern IDC,Service Provider Staff
1-6A489M,Complaint Unresolved in time,Minor,7/03/11 16:42,,Lilac Aqua,Service Provider Staff
1-6AM7YH,Contraband found,Minor,7/03/11 16:56,,Inverbrackie APOD,Service Provider Staff
1-6CIMGS,Complaint Unresolved in time,Minor,7/03/11 17:00,,Christmas Island,Service Provider Staff
1-6CIC9F,Complaint Unresolved in time,Minor,7/03/11 17:00,,Christmas Island,Service Provider Staff
1-6AK00H,Disturbance - Minor,Minor,7/03/11 18:00,,Inverbrackie APOD,Service Provider Staff
1-6A48M4,Assault - Minor,Major,7/03/11 18:00,,Perth IDC,Service Provider Staff
1-6A4IXO,Transfer to APOD,Minor,7/03/11 18:30,,Northern IDC,Service Provider Staff
1-6AJCHA,Damage - Minor,Minor,7/03/11 19:05,,Inverbrackie APOD,Service Provider Staff
1-6AP5CU,Voluntary starvation (<24 hrs),Minor,7/03/11 20:30,,Curtin IDC,Service Provider Staff
1-6AP5A3,Voluntary starvation (<24 hrs),Minor,7/03/11 20:30,,Curtin IDC,Service Provider Staff
1-6AP56P,Voluntary starvation (<24 hrs),Minor,7/03/11 20:30,,Curtin IDC,Service Provider Staff
1-6A9WCW,Transfer to APOD,Minor,7/03/11 22:05,,Inverbrackie APOD,Service Provider Staff
1-6A4J1R,Abusive/Aggressive Behaviour,Minor,7/03/11 22:50,,Villawood IDC,Service Provider Staff
1-6C5LOT,Damage - Minor,Minor,7/03/11 23:00,,Villawood IDC,Service Provider Staff
1-6A4IXT,Failure - Security System,Major,7/03/11 23:00,,Villawood IDC,Service Provider Staff
1-6A9VWF,Escape,Critical,7/03/11 23:09,,North West Point Immigration Facility,Service Provider Staff
1-6A4HL0,Accident/Injury - Serious,Critical,7/03/11 23:15,,Gwalia Lodge,Service Provider Staff
1-6A9VWI,Self Harm - Threatened,Major,7/03/11 23:30,,North West Point Immigration Facility,Service Provider Staff
1-6A4J6F,Accident/Injury - Serious,Critical,8/03/11 0:10,,Port Augusta IRH,Client
1-6A4JGY,Escape - Attempted,Major,8/03/11 1:40,,Maribyrnong IDC,Service Provider Staff
1-6AMLP9,Complaint Unresolved in time,Minor,8/03/11 8:00,,Northern IDC,Service Provider Staff
1-6AG2SM,Self Harm-Attpted Serious,Critical,8/03/11 8:10,,North West Point Immigration Facility,Service Provider Staff
1-6AEEKT,Voluntary starvation (<24 hrs),Minor,8/03/11 10:30,,North West Point Immigration Facility,Service Provider Staff
1-6AEEKK,Demonstration - Onsite,Major,8/03/11 10:30,,North West Point Immigration Facility,Service Provider Staff
1-6AP589,Disturbance - Minor,Minor,8/03/11 11:50,,North West Point Immigration Facility,Service Provider Staff
1-6AJCAO,Theft,Minor,8/03/11 12:30,,Melbourne ITA,Service Provider Staff
1-6AJEU2,Complaint Unresolved in time,Minor,8/03/11 12:49,,North West Point Immigration Facility,Service Provider Staff
1-6AJEUQ,Complaint Unresolved in time,Minor,8/03/11 12:55,,North West Point Immigration Facility,Service Provider Staff
1-6AJEUY,Complaint Unresolved in time,Minor,8/03/11 12:57,,North West Point Immigration Facility,Service Provider Staff
1-6AJEW0,Complaint Unresolved in time,Minor,8/03/11 12:59,,North West Point Immigration Facility,Service Provider Staff
1-6AJEV4,Assault - Minor,Major,8/03/11 13:05,,Curtin IDC,Service Provider Staff
1-6AHG51,Self Harm - Actual,Critical,8/03/11 13:55,,Melbourne ITA,Service Provider Staff
1-6AQTSU,Abusive/Aggressive Behaviour,Minor,8/03/11 14:00,,Northern IDC,Service Provider Staff
1-6AP5R0,Self Harm - Threatened,Major,8/03/11 15:05,,North West Point Immigration Facility,Service Provider Staff
1-6AN5PI,Self Harm - Threatened,Major,8/03/11 15:05,,North West Point Immigration Facility,Service Provider Staff
1-6AP581,Self Harm - Actual,Critical,8/03/11 15:15,,Northern IDC,Service Provider Staff
1-6APXCT,Abusive/Aggressive Behaviour,Minor,8/03/11 15:30,,Northern IDC,Service Provider Staff
1-6AKYBL,Use of Observation Rm > 24 hrs,Major,8/03/11 15:50,,Villawood IDC,Service Provider Staff
1-6AP5DB,Self Harm - Threatened,Major,8/03/11 15:56,,North West Point Immigration Facility,Service Provider Staff
1-6AP5BB,Failure - Security System,Major,8/03/11 16:45,,Brisbane ITA,Service Provider Staff
1-6CIMM2,Complaint Unresolved in time,Minor,8/03/11 17:00,,Christmas Island,Service Provider Staff
1-6CIMGX,Complaint Unresolved in time,Minor,8/03/11 17:00,,Christmas Island,Service Provider Staff
1-6APX45,Assault - Not OBH,Minor,8/03/11 17:15,,North West Point Immigration Facility,Service Provider Staff
1-6APX48,Disturbance - Major,Major,8/03/11 17:55,,North West Point Immigration Facility,Service Provider Staff
1-6APX9L,Assault - Minor,Major,8/03/11 18:00,,North West Point Immigration Facility,Service Provider Staff
1-6B1SOD,Voluntary  Starvation - End of,Minor,8/03/11 20:00,,North West Point Immigration Facility,Service Provider Staff
1-6APWYM,Transfer to APOD,Minor,8/03/11 20:00,,Northern IDC,Service Provider Staff
1-6B0XH1,Voluntary starvation (<24 hrs),Minor,8/03/11 20:30,,Curtin IDC,Service Provider Staff
1-6B0XGC,Voluntary starvation (<24 hrs),Minor,8/03/11 20:30,,Curtin IDC,Service Provider Staff
1-6B18NY,Voluntary starvation (<24 hrs),Minor,8/03/11 20:30,,Curtin IDC,Service Provider Staff
1-6AP5WS,Failure - Security System,Major,8/03/11 20:45,,Villawood IDC,Service Provider Staff
1-6AXDGY,Disturbance - Minor,Minor,8/03/11 23:50,,North West Point Immigration Facility,Service Provider Staff
1-6AQU1G,Disturbance - Minor,Minor,9/03/11 0:40,,Curtin IDC,Service Provider Staff
